Date,Adj Close,Close,High,Low,Open,Volume
17/10/2023,634.7942505,649.2000122,651.8499756,639.25,639.3499756,1103994
18/10/2023,622.4738159,636.5999756,651,634.5,649.2000122,875559
19/10/2023,620.6160278,634.7000122,641,632.5999756,634.5,657460
20/10/2023,620.8604736,634.9500122,637.7999878,633.7999878,634.4500122,654219
23/10/2023,603.75,617.4500122,636.7000122,615.1500244,634.9500122,1105408
25/10/2023,597.4908447,611.0499878,623.5999756,608.5499878,620,1094888
26/10/2023,591.5750732,605,612.5,597.3499756,609.8499756,1084441
27/10/2023,593.19,606.6500244,612.75,606.0999756,608,617526
30/10/2023,590.7928467,604.2000122,609.1500244,602.6500244,606.5999756,465617
31/10/2023,588.8861084,602.25,609.5499878,600.2000122,606.5,536471
01/11/2023,586.6859741,600,607.8499756,599,603.8499756,549716
02/11/2023,592.7973022,606.25,609.0499878,602.2999878,603.7999878,741948
03/11/2023,594.56,608.0499878,610.2999878,607,608,418848
06/11/2023,597.8330688,611.4000244,613.9000244,609.5,609.9000244,580132
07/11/2023,597.2462769,610.7999878,613.9000244,610.1500244,612,453744
08/11/2023,599.74,613.3499756,615.5499878,611,612,744275
09/11/2023,601.1575928,614.7999878,617.2000122,613.4000244,614,393625
10/11/2023,596.71,610.25,619.5999756,608.0999756,614.25,671906
13/11/2023,592.112854,605.5499878,606.5,598.25,605,1079051
15/11/2023,593.335083,606.7999878,611,606.0999756,607.2000122,840602
16/11/2023,595.7796021,609.2999878,612.9000244,604.25,607.8499756,1367472
17/11/2023,601.0109253,614.6500244,618.7999878,608.75,609.2999878,1177051
20/11/2023,598.4197388,612,615.7999878,609.9500122,614.6500244,502409
21/11/2023,597.3441772,610.9000244,615.7000122,610,613,718571
22/11/2023,595.2418213,608.75,613.1500244,607.7000122,611,600947
23/11/2023,603.9932251,617.7000122,628,608,609.25,736051
24/11/2023,662.6129761,677.6500244,682,620.5499878,620.9500122,18997036
28/11/2023,659.3372803,674.2999878,694.5,671.0999756,681,8034353
29/11/2023,665.7908325,680.9000244,692,672.0499878,677,3497491
30/11/2023,664.42,679.5,699,677,682,4305902
01/12/2023,656.0127563,670.9000244,687.4000244,667.1500244,685,1616633
04/12/2023,703.05,719,727.7000122,680,680,13408726
05/12/2023,698.2052002,714.0499878,726.9000244,702.5999756,720,5078973
06/12/2023,729.446228,746,750.7999878,714,719.9500122,9601936
07/12/2023,768.020874,785.4500122,800,736.9000244,747.9000244,15595341
08/12/2023,755.31,772.4500122,803.4000244,770,790,6927164
11/12/2023,753.8426514,770.9500122,783.6500244,768,775,2160731
12/12/2023,774.1810913,791.75,799,770,770,5822501
13/12/2023,787.1859131,805.0499878,810.75,795.5,795.5,5973611
14/12/2023,797.1596069,815.25,820,807.2000122,811,4007659
15/12/2023,778.4834595,796.1500244,818.9000244,792,816,2964146
18/12/2023,783.8613892,801.6500244,810.9000244,793.4500122,798,2171792
19/12/2023,776.4299927,794.0499878,806.7000122,792,803.25,1396214
20/12/2023,744.3578491,761.25,809.5,755.0999756,798,2897254
21/12/2023,747.5357666,764.5,768.8499756,746.2999878,752.8499756,2869747
